baths,beds,cats_allowed,comes_furnished,dogs_allowed,electric_vehicle_charge,id,lat,laundry_options,long,parking_options,price,region,smoking_allowed,sqfeet,state,type,wheelchair_access
1,2,0,0,0,0,7043935020,21.309,w/d hookups,-158.011,carport,2250,hawaii,0,1100,hi,apartment,0
2,2,0,1,0,0,7043986115,21.2856,w/d in unit,-157.83,carport,2700,hawaii,0,983,hi,apartment,0
1,0,0,1,1,0,7043986807,21.2987,laundry on site,-157.699,street parking,1450,hawaii,0,380,hi,apartment,1
1,2,1,0,1,0,7018856886,42.5493,w/d in unit,-114.461,attached garage,614,twin falls,1,966,id,house,0
1,2,0,0,0,0,7009015171,42.6728,laundry on site,-114.76,off-street parking,0,twin falls,0,853,id,apartment,0
1,1,1,0,1,0,7009018730,42.6023,laundry on site,-114.76,off-street parking,0,twin falls,0,625,id,apartment,1
2,3,0,0,0,0,7028205884,42.5511,w/d hookups,-114.431,attached garage,1300,twin falls,0,1472,id,house,0
1,2,0,0,0,0,7032158426,42.5399,w/d hookups,-114.374,attached garage,900,twin falls,0,800,id,duplex,0
2,3,0,0,0,0,7020579567,42.5513,w/d in unit,-114.448,detached garage,825,twin falls,0,1016,id,apartment,0
2,2,1,0,1,0,7032499025,42.3932,w/d in unit,-114.522,carport,995,twin falls,1,1016,id,apartment,1
1,2,0,0,0,0,7033764105,42.5599,w/d hookups,-113.799,attached garage,800,twin falls,0,840,id,duplex,0
1,2,0,0,1,0,7034940103,43.5239,w/d in unit,-114.306,attached garage,2500,twin falls,1,825,id,duplex,0
1,3,0,1,0,0,7018903775,42.5599,w/d in unit,-113.771,carport,1699,twin falls,0,100,id,house,0
2,3,0,1,1,0,7018897581,42.5599,w/d in unit,-113.771,attached garage,1699,twin falls,0,100,id,duplex,0
2,3,0,1,1,0,7018900674,42.5599,w/d in unit,-113.771,attached garage,1699,twin falls,0,100,id,duplex,0
2,3,1,0,1,0,7037235715,42.3932,w/d hookups,-114.522,carport,877,twin falls,0,1122,id,apartment,0
2,2,0,0,0,0,7037236488,42.3932,w/d hookups,-114.522,carport,695,twin falls,1,956,id,apartment,0
1,1,1,0,1,0,7037236790,42.3932,w/d hookups,-114.522,carport,665,twin falls,0,702,id,apartment,0
2,3,1,1,1,0,7031561949,42.5484,w/d hookups,-113.8,attached garage,676,twin falls,0,1200,id,house,0
2,4,1,1,1,0,7031560277,42.5484,w/d hookups,-113.8,attached garage,1200,twin falls,0,1200,id,house,0
2,3,0,0,0,0,7039005037,42.3932,laundry on site,-114.522,attached garage,1250,twin falls,0,2000,id,house,0
2,3,0,0,0,0,7022417139,42.3932,w/d in unit,-114.522,attached garage,1250,twin falls,0,1281,id,house,0
2,2,0,0,0,0,7041028153,42.573,w/d hookups,-114.488,carport,775,twin falls,0,1000,id,apartment,0
2,3,0,0,0,0,7036529197,42.5559,w/d in unit,-114.453,off-street parking,1000,twin falls,0,1300,id,apartment,1
2,3,1,0,1,0,7043347912,43.5239,w/d in unit,-114.306,attached garage,2700,twin falls,0,2200,id,house,0
1,2,1,0,1,0,7045335273,42.6008,w/d in unit,-114.783,off-street parking,645,twin falls,1,950,id,manufactured,0
2,2,0,0,0,0,7030806013,42.5672,w/d in unit,-114.491,carport,875,twin falls,0,1164,id,apartment,1
2,4,0,0,0,0,7030805214,42.5887,w/d hookups,-114.497,attached garage,1300,twin falls,0,1584,id,house,0
1,2,0,0,0,1,7046421371,42.5578,w/d in unit,-114.454,detached garage,1200,twin falls,0,1936,id,house,0
1,3,0,0,0,0,7046614365,42.4368,w/d hookups,-113.821,street parking,980,twin falls,0,1300,id,house,0
2.5,4,0,0,0,0,7047256791,42.5692,w/d hookups,-114.49,attached garage,1350,twin falls,0,1488,id,house,0
1,3,1,0,1,0,7043369956,43.1392,w/d in unit,-115.696,off-street parking,1100,twin falls,0,1500,id,apartment,0
2.5,3,1,0,1,0,7036683648,42.5204,w/d in unit,-114.476,attached garage,1375,twin falls,0,1449,id,townhouse,0
2,2,1,0,1,0,7048351617,43.5017,w/d hookups,-114.289,off-street parking,971,twin falls,1,994,id,apartment,1
2,3,1,0,1,0,7048352923,43.5016,w/d hookups,-114.289,off-street parking,1121,twin falls,1,1282,id,apartment,1
1,2,0,0,0,0,7048396749,42.5704,w/d hookups,-114.446,street parking,625,twin falls,0,1400,id,in-law,0
1,2,0,0,0,0,7048398941,42.5704,w/d hookups,-114.446,street parking,625,twin falls,0,1400,id,in-law,0
1,1,1,0,0,0,7035337047,42.5901,laundry on site,-114.466,carport,664,twin falls,0,626,id,apartment,0
2,3,0,1,0,0,7048730091,42.5581,w/d in unit,-113.766,attached garage,1499,twin falls,0,1250,id,duplex,0
2,3,0,0,0,0,7047074056,42.5518,w/d hookups,-114.45,carport,875,twin falls,0,1350,id,apartment,0
2,3,0,0,0,0,7047068456,42.567,w/d hookups,-114.45,carport,875,twin falls,0,1350,id,apartment,0
1.5,3,1,0,1,0,7025509168,38.5514,w/d in unit,-90.1544,attached garage,700,western IL,1,925,il,house,0
1,3,0,1,0,0,7029481377,39.9307,w/d in unit,-91.3763,street parking,1500,western IL,0,1800,il,house,0
1,2,0,0,0,0,7033524168,40.8087,w/d hookups,-91.117,off-street parking,642,western IL,1,955,il,townhouse,0
2,3,1,0,1,0,7045044478,39.9601,w/d hookups,-91.3026,off-street parking,810,western IL,1,1140,il,apartment,0
2,2,1,0,1,0,7045076970,39.9601,w/d hookups,-91.3026,off-street parking,710,western IL,1,960,il,apartment,0
2,3,1,0,1,0,7045202897,39.9601,w/d hookups,-91.3026,off-street parking,810,western IL,1,1140,il,apartment,0
1,2,0,0,0,0,7047361936,40.8087,w/d hookups,-91.117,off-street parking,700,western IL,1,955,il,townhouse,0
2,2,1,0,1,0,7050885352,39.9601,w/d hookups,-91.3026,off-street parking,710,western IL,1,960,il,apartment,0
2,3,1,0,1,0,7051010032,39.9601,w/d hookups,-91.3026,off-street parking,810,western IL,1,1140,il,apartment,0
2,2,1,0,1,0,7051077551,39.9601,w/d hookups,-91.3026,off-street parking,710,western IL,1,960,il,apartment,0
1,1,1,0,1,0,7031065555,38.6501,laundry on site,-90.1957,off-street parking,0,"st louis, MO",1,789,il,apartment,1
1,1,1,0,1,0,7031064141,38.6501,laundry on site,-90.1958,off-street parking,0,"st louis, MO",1,789,il,apartment,1
1,2,1,0,1,0,7031067756,38.6501,laundry on site,-90.1955,off-street parking,0,"st louis, MO",1,789,il,apartment,1
1.5,3,0,0,0,0,7046735197,38.7732,w/d hookups,-90.3012,off-street parking,1000,"st louis, MO",1,1373,il,townhouse,0
1.5,3,0,0,0,0,7046735301,38.7733,w/d hookups,-90.3011,off-street parking,1000,"st louis, MO",1,1373,il,townhouse,0
2,2,1,0,1,0,7046733350,38.7132,laundry in bldg,-90.4513,off-street parking,960,"st louis, MO",1,896,il,apartment,0
1,1,1,0,1,0,7046741465,38.717,laundry in bldg,-90.4489,off-street parking,735,"st louis, MO",1,688,il,apartment,0
1,1,1,0,1,0,7046731767,38.7132,laundry in bldg,-90.4514,off-street parking,720,"st louis, MO",1,625,il,apartment,0
2,3,1,0,1,0,7046735068,38.7129,laundry on site,-90.4511,off-street parking,1065,"st louis, MO",1,1114,il,apartment,0
1,2,1,0,1,0,7039532798,38.7196,laundry on site,-90.27,off-street parking,630,"st louis, MO",1,760,il,apartment,0
2,2,1,0,1,0,7046736608,38.7404,laundry on site,-90.2241,off-street parking,675,"st louis, MO",1,1175,il,apartment,0
2,3,1,0,1,0,7046743318,38.7315,w/d hookups,-90.2188,off-street parking,850,"st louis, MO",1,1650,il,townhouse,0
1,2,0,0,0,0,7046751747,38.5887,w/d hookups,-90.2829,off-street parking,1495,"st louis, MO",0,1650,il,apartment,0
1,2,1,0,1,0,7046761468,38.7152,laundry in bldg,-90.4501,off-street parking,840,"st louis, MO",1,901,il,apartment,0
1,2,1,0,1,0,7046753641,38.7383,laundry on site,-90.2247,off-street parking,575,"st louis, MO",1,860,il,apartment,0
1,2,0,0,0,0,7046768658,38.7513,laundry on site,-90.2568,off-street parking,610,"st louis, MO",1,900,il,apartment,0
2,2,1,0,1,0,7046770021,38.671,laundry on site,-90.4557,off-street parking,880,"st louis, MO",1,1020,il,apartment,0
1,2,1,0,1,0,7046770273,38.6375,w/d in unit,-90.2428,off-street parking,899,"st louis, MO",1,1000,il,apartment,0
1,1,0,0,0,0,7046770831,38.6143,laundry in bldg,-90.312,off-street parking,750,"st louis, MO",0,650,il,apartment,0
1,1,0,0,0,0,7025047630,39.4884,w/d hookups,-87.2661,carport,495,terre haute,1,800,in,apartment,0
1,2,1,0,1,0,7025755760,39.4596,w/d in unit,-87.3812,off-street parking,695,terre haute,1,884,in,house,0
1,2,1,0,1,0,7020621450,39.407,w/d hookups,-87.402,detached garage,700,terre haute,1,900,in,house,0
1,2,1,0,1,0,7025762028,39.4596,w/d in unit,-87.3812,off-street parking,695,terre haute,1,884,in,house,0
1.5,3,1,1,1,0,7025701506,39.4501,w/d in unit,-87.4141,off-street parking,800,terre haute,0,1600,in,house,0
2,3,1,0,0,0,7025677086,39.464,w/d hookups,-87.3975,detached garage,700,terre haute,1,1400,in,house,0
1,2,1,0,0,0,7020508035,39.471,no laundry on site,-87.4009,off-street parking,550,terre haute,1,600,in,apartment,0
1,2,1,0,1,0,7026292084,39.4694,w/d hookups,-87.3989,detached garage,750,terre haute,0,1050,in,house,0
1,2,0,0,0,0,7035850649,39.407,w/d hookups,-87.402,detached garage,525,terre haute,1,700,in,house,0
1,3,1,0,1,0,7020564901,39.4657,w/d hookups,-87.354,off-street parking,650,terre haute,1,1000,in,apartment,0
2,4,0,0,0,0,7030332485,39.471,laundry in bldg,-87.4009,off-street parking,700,terre haute,1,2500,in,apartment,0
1,0,0,0,0,0,7040607376,39.4631,no laundry on site,-87.4046,off-street parking,450,terre haute,1,300,in,apartment,0
1,1,1,0,1,0,7040609758,39.4076,laundry on site,-87.3995,off-street parking,425,terre haute,0,566,in,apartment,0
0,1,0,0,0,0,7016126595,39.4928,w/d hookups,-87.3774,detached garage,600,terre haute,1,800,in,house,0
1,2,0,1,0,0,7035923029,39.4498,w/d in unit,-87.3895,detached garage,600,terre haute,0,1705,in,house,0
2,3,1,0,1,0,7041356296,39.3809,w/d hookups,-87.3902,attached garage,1040,terre haute,1,1451,in,apartment,0
1,1,1,0,1,0,7041361148,39.3808,w/d hookups,-87.3914,off-street parking,655,terre haute,1,531,in,apartment,0
1,1,1,0,1,0,7041368475,39.3805,w/d hookups,-87.3886,attached garage,845,terre haute,1,765,in,apartment,0
1,1,0,0,0,0,7041375260,39.383,w/d hookups,-87.3864,off-street parking,660,terre haute,1,735,in,apartment,1
2,3,0,0,0,0,7041403292,39.383,w/d hookups,-87.3857,off-street parking,825,terre haute,1,1246,in,apartment,0
2,3,0,0,0,0,7041412873,39.383,w/d hookups,-87.386,attached garage,1035,terre haute,1,1374,in,apartment,0
2,2,0,0,0,0,7033424905,39.3813,w/d hookups,-87.3856,off-street parking,800,terre haute,1,987,in,apartment,0
2,2,0,0,0,0,7033426829,39.3813,w/d hookups,-87.3849,off-street parking,780,terre haute,1,987,in,apartment,0
2,2,0,0,0,0,7033425721,39.3823,w/d hookups,-87.3845,off-street parking,800,terre haute,1,987,in,apartment,0
2,3,1,0,1,0,7033426109,39.381,w/d hookups,-87.3888,off-street parking,1040,terre haute,1,1451,in,apartment,0
1,1,0,0,0,0,7041605027,39.4614,laundry in bldg,-87.4069,street parking,485,terre haute,0,580,in,apartment,0
1,1,0,0,0,0,7041605343,39.4614,laundry in bldg,-87.4069,street parking,385,terre haute,0,320,in,apartment,0
1.5,4,0,0,0,0,7042860260,39.4737,w/d hookups,-87.3747,off-street parking,1080,terre haute,1,1795,in,house,1
2,3,1,0,1,0,7046511656,39.407,w/d in unit,-87.402,attached garage,1000,terre haute,1,2039,in,house,0
1,1,0,0,0,0,7018546999,38.9978,laundry in bldg,-77.0273,off-street parking,1154,western maryland,1,679,md,apartment,0
0,3,1,0,1,0,7015648512,39.632,laundry in bldg,-77.7372,off-street parking,935,western maryland,1,861,md,apartment,0
1,2,1,0,1,0,7027373415,39.6573,laundry in bldg,-77.6921,off-street parking,926,western maryland,1,854,md,apartment,0
1,2,1,0,1,0,7024915734,39.6573,laundry in bldg,-77.6921,off-street parking,998,western maryland,1,854,md,apartment,0
0,3,1,0,1,0,7014007654,39.632,laundry in bldg,-77.7372,off-street parking,935,western maryland,1,870,md,apartment,0
1,1,1,0,1,0,7025005514,39.2892,w/d in unit,-76.59,attached garage,1678,western maryland,0,986,md,apartment,1
2.5,3,0,0,0,0,7006324291,39.6605,w/d hookups,-77.753,off-street parking,1475,western maryland,1,1900,md,townhouse,0
1,2,1,0,1,0,7026713119,39.6573,laundry in bldg,-77.6921,off-street parking,926,western maryland,1,854,md,apartment,0
1.5,3,0,0,0,0,7023088482,39.4567,w/d hookups,-77.9727,off-street parking,825,western maryland,0,1120,md,house,0
1,3,0,0,0,0,7008682753,39.4567,w/d hookups,-77.9727,off-street parking,825,western maryland,0,1100,md,duplex,0
1,2,1,0,1,0,7025281579,39.632,laundry in bldg,-77.7372,off-street parking,860,western maryland,1,733,md,apartment,1
0,3,1,0,1,0,7014750451,39.632,laundry in bldg,-77.7372,off-street parking,935,western maryland,1,870,md,apartment,0
0,2,1,0,1,0,7014294776,39.632,laundry in bldg,-77.7372,off-street parking,860,western maryland,1,733,md,apartment,0
1.5,3,1,0,1,0,7027338490,39.632,laundry on site,-77.7372,off-street parking,1150,western maryland,0,2000,md,apartment,0
0,2,1,0,1,0,7011304557,39.632,laundry in bldg,-77.7372,off-street parking,860,western maryland,1,733,md,apartment,0
2,1,0,0,0,0,7010018866,39.6494,laundry on site,-78.9306,off-street parking,395,western maryland,1,1500,md,apartment,0
2,3,0,1,0,0,7015684989,39.6573,w/d in unit,-77.6921,off-street parking,1500,western maryland,0,1560,md,house,0
2,2,0,1,0,0,7016635250,39.644,w/d in unit,-78.7549,off-street parking,1795,western maryland,0,1000,md,apartment,0
2,3,1,0,1,0,7029762511,39.0935,w/d in unit,-76.8606,attached garage,2110,western maryland,1,1558,md,apartment,1
1,2,1,0,1,0,7030584995,39.6573,laundry in bldg,-77.6921,off-street parking,949,western maryland,1,854,md,apartment,0
0,2,1,0,1,0,7013261303,39.632,laundry in bldg,-77.7372,off-street parking,860,western maryland,1,733,md,apartment,0
1,2,1,0,1,0,7031282544,39.6573,laundry in bldg,-77.6921,off-street parking,929,western maryland,1,854,md,apartment,0
1,2,1,0,1,0,7019708288,39.703,w/d hookups,-78.1905,off-street parking,750,western maryland,1,950,md,manufactured,0
1,1,0,0,0,0,7031721285,39.6388,laundry on site,-77.7081,off-street parking,695,western maryland,0,750,md,apartment,0
1,2,1,0,1,0,7031949401,39.6573,laundry in bldg,-77.6921,off-street parking,989,western maryland,1,854,md,apartment,0
1,1,1,0,1,0,7032025623,39.632,no laundry on site,-77.7372,off-street parking,660,western maryland,0,600,md,apartment,0
1,2,1,0,1,0,7015340970,39.632,laundry in bldg,-77.7372,off-street parking,860,western maryland,1,733,md,apartment,0
1,2,1,0,1,0,7032701888,39.6281,w/d hookups,-77.6622,off-street parking,940,western maryland,1,1000,md,apartment,0
2.5,3,0,0,0,0,7032988305,39.632,w/d hookups,-77.7372,off-street parking,1475,western maryland,0,1900,md,townhouse,0
1,2,1,0,1,0,7033262303,39.6573,laundry in bldg,-77.6921,off-street parking,894,western maryland,1,854,md,apartment,0
2.5,3,0,0,0,0,7015713021,39.632,w/d hookups,-77.7372,street parking,1475,western maryland,0,1900,md,townhouse,0
1,2,0,0,0,0,7025564262,39.6528,w/d hookups,-78.9009,off-street parking,700,western maryland,0,1000,md,duplex,0
2,3,1,0,1,0,7033965592,39.6281,w/d hookups,-77.6622,off-street parking,1123,western maryland,1,1490,md,apartment,0
1,1,1,0,1,0,7032888362,36.8621,w/d hookups,-87.4851,off-street parking,715,western KY,1,700,ky,apartment,1
1,2,1,0,1,0,7032898164,36.8621,w/d hookups,-87.4851,off-street parking,770,western KY,1,960,ky,apartment,0
1,2,1,0,1,0,7032911582,36.8621,laundry in bldg,-87.4851,off-street parking,700,western KY,1,960,ky,apartment,0
1,1,1,0,1,0,7017892514,37.3723,w/d hookups,-87.4916,off-street parking,525,western KY,1,875,ky,apartment,0
1,2,1,0,1,0,7019932471,37.3723,w/d hookups,-87.4916,off-street parking,625,western KY,1,875,ky,apartment,0
1,1,1,0,1,0,7035190772,37.0882,w/d in unit,-88.6008,off-street parking,700,western KY,0,1100,ky,apartment,0
2,3,0,0,0,0,7030851537,37.0341,w/d hookups,-88.0029,attached garage,950,western KY,1,1600,ky,house,0
1,2,1,0,1,0,7020267662,36.8831,w/d hookups,-87.4842,off-street parking,709,western KY,1,900,ky,apartment,0
1,2,0,0,0,0,7008635599,37.1733,laundry on site,-87.6884,off-street parking,495,western KY,1,750,ky,apartment,0
2,3,1,0,1,0,7037014873,36.8478,w/d hookups,-88.6788,detached garage,1100,western KY,1,1600,ky,apartment,0
1,3,1,0,1,0,7037915128,36.5694,w/d hookups,-88.8084,carport,650,western KY,1,850,ky,house,0
1,4,1,0,1,0,7037920809,36.7327,w/d in unit,-88.6506,carport,750,western KY,1,800,ky,house,0
2,2,0,0,0,0,7036562801,36.7591,w/d hookups,-87.4583,attached garage,900,western KY,1,1000,ky,apartment,0
1,2,1,0,1,0,7032242387,36.8621,w/d hookups,-87.4851,off-street parking,724,western KY,1,900,ky,apartment,0
2,3,0,0,1,0,7022625427,36.6331,w/d hookups,-88.3113,off-street parking,795,western KY,1,840,ky,manufactured,0
1,2,1,0,1,0,7028378541,36.8831,w/d hookups,-87.4842,off-street parking,709,western KY,1,900,ky,apartment,0
1,1,1,0,1,0,7039771004,36.8831,w/d hookups,-87.4842,off-street parking,669,western KY,1,600,ky,apartment,0
1,1,0,1,0,0,7028486997,37.0884,laundry in bldg,-88.6025,street parking,795,western KY,0,1100,ky,condo,0
1.5,3,0,0,0,0,7044962851,36.5967,w/d hookups,-88.3135,carport,975,western KY,1,1500,ky,house,0
1,1,1,0,1,0,7037976189,36.8832,w/d hookups,-87.4841,off-street parking,669,western KY,1,600,ky,apartment,0
2,3,0,0,0,0,7028956385,37.0055,w/d hookups,-88.6649,attached garage,1000,western KY,1,1700,ky,duplex,0
1,1,1,0,1,0,7032076015,37.1733,laundry on site,-87.6884,off-street parking,395,western KY,1,650,ky,apartment,0
4,4,1,0,1,0,7048645539,36.6285,w/d in unit,-88.3243,off-street parking,369,western KY,0,1635,ky,apartment,0
2,3,0,0,1,0,7048963702,37.0368,laundry on site,-88.5934,off-street parking,1100,western KY,0,1100,ky,house,0
4,4,1,0,1,0,7048984686,36.6099,w/d in unit,-88.3032,off-street parking,369,western KY,0,1635,ky,apartment,0
3,4,1,0,1,0,7049136786,36.6285,w/d in unit,-88.3243,off-street parking,369,western KY,0,1311,ky,apartment,0
4,4,1,0,1,0,7049357527,36.6285,w/d in unit,-88.3243,off-street parking,369,western KY,0,1635,ky,apartment,0
2,2,0,0,0,0,7049418304,37.1328,laundry on site,-95.7856,detached garage,725,western KY,1,1000,ky,house,0
1,1,1,0,1,0,7048637901,36.8832,w/d hookups,-87.4841,off-street parking,669,western KY,1,600,ky,apartment,0
2,4,1,0,1,0,7050427412,37.0817,w/d hookups,-88.629,detached garage,1000,western KY,0,3250,ky,house,0
1,2,1,0,1,0,7050483817,36.8831,w/d hookups,-87.4842,off-street parking,714,western KY,1,900,ky,apartment,0
2,3,0,0,0,0,7050582395,36.8621,w/d hookups,-87.4851,carport,900,western KY,0,1350,ky,house,0
2,2,0,0,0,0,7024933075,32.5449,laundry on site,-93.7038,off-street parking,675,shreveport,1,1080,la,apartment,0
2,2,1,0,1,0,7024996853,32.4686,w/d hookups,-93.6909,attached garage,1191,shreveport,1,1373,la,apartment,0
2,2,1,0,1,0,7024999023,32.4732,w/d in unit,-93.6975,detached garage,765,shreveport,0,600,la,apartment,0
1,1,1,0,1,0,7025017427,32.4732,w/d in unit,-93.6975,detached garage,823,shreveport,0,710,la,apartment,0
2,2,0,0,0,0,7025032008,32.5449,laundry on site,-93.7038,off-street parking,675,shreveport,1,1080,la,apartment,0
1,1,1,0,1,0,7025113462,32.5318,w/d in unit,-93.8344,off-street parking,604,shreveport,0,721,la,apartment,0
2,2,1,0,1,0,7025283541,32.5318,w/d in unit,-93.8344,off-street parking,753,shreveport,0,1005,la,apartment,0
1,1,0,0,0,0,7025321098,32.5449,laundry on site,-93.7038,off-street parking,590,shreveport,1,840,la,apartment,0
2,2,1,0,1,0,7025710684,32.4195,w/d hookups,-93.734,off-street parking,885,shreveport,1,981,la,apartment,0
1,1,1,1,0,0,7025936131,32.4732,w/d in unit,-93.6975,detached garage,755,shreveport,0,600,la,apartment,0
1,1,1,0,1,0,7025943235,32.4732,w/d in unit,-93.6975,detached garage,813,shreveport,0,710,la,apartment,0
2,2,1,0,1,0,7025952986,32.4732,w/d in unit,-93.6975,detached garage,1046,shreveport,0,1090,la,apartment,0
1,1,0,0,0,0,7026717222,32.5449,laundry on site,-93.7038,off-street parking,525,shreveport,1,672,la,apartment,0
2,2,1,0,1,0,7026806076,32.5318,w/d in unit,-93.8344,off-street parking,750,shreveport,0,1005,la,apartment,0
1,1,1,0,1,0,7026808356,32.4732,w/d in unit,-93.6975,detached garage,755,shreveport,0,600,la,apartment,0
1,1,1,0,1,0,7026808568,32.4732,w/d in unit,-93.6975,detached garage,813,shreveport,0,710,la,apartment,0
2,2,1,0,1,0,7026808857,32.4732,w/d in unit,-93.6975,detached garage,1046,shreveport,0,1090,la,apartment,0
2,2,1,0,1,0,7026830598,32.3977,w/d hookups,-93.8025,off-street parking,725,shreveport,1,957,la,apartment,0
1,1,1,0,1,0,7026838473,32.4732,w/d in unit,-93.6975,off-street parking,755,shreveport,0,600,la,apartment,0
1,1,1,0,1,0,7026856123,32.5318,w/d in unit,-93.8344,off-street parking,602,shreveport,0,721,la,apartment,0
2,3,1,0,1,0,7026766931,32.4108,laundry on site,-93.6999,off-street parking,800,shreveport,1,1250,la,apartment,0
2,1,0,0,0,0,7026978433,32.5449,laundry on site,-93.7038,off-street parking,525,shreveport,1,672,la,apartment,0
1,1,0,0,0,0,7024940732,42.2526,laundry in bldg,-71.8499,off-street parking,1550,worcester / central MA,0,624,ma,apartment,0
1,1,0,0,0,0,7024959372,42.375,w/d in unit,-71.5582,off-street parking,2155,worcester / central MA,0,934,ma,apartment,0
1,1,1,0,0,0,7024971933,42.5875,laundry on site,-71.8137,off-street parking,1480,worcester / central MA,1,1026,ma,apartment,0
1,2,1,0,1,0,7024987450,42.2767,laundry in bldg,-71.6972,off-street parking,1507,worcester / central MA,1,950,ma,apartment,0
1,1,1,0,1,0,7025032413,42.2848,w/d in unit,-71.7205,detached garage,1440,worcester / central MA,1,635,ma,apartment,0
2,3,1,0,1,0,7025035254,42.2848,w/d in unit,-71.7205,detached garage,2125,worcester / central MA,1,1160,ma,apartment,0
1,2,1,0,1,0,7025069807,41.9846,laundry in bldg,-71.5194,off-street parking,900,worcester / central MA,0,800,ma,apartment,0
1,2,1,0,1,0,7025090407,42.2848,w/d in unit,-71.7205,off-street parking,1405,worcester / central MA,1,810,ma,apartment,0
2,2,1,0,1,0,7025097755,42.2848,w/d in unit,-71.7205,off-street parking,2105,worcester / central MA,1,1040,ma,apartment,0
2,2,0,0,0,0,7025170520,42.375,w/d in unit,-71.5582,off-street parking,2276,worcester / central MA,0,1100,ma,apartment,0
2,2,1,0,1,0,7006077957,42.2848,w/d in unit,-71.7205,off-street parking,2550,worcester / central MA,1,1230,ma,condo,0
2,2,1,0,1,0,7025178348,42.4181,w/d in unit,-71.6828,off-street parking,1875,worcester / central MA,1,985,ma,apartment,0
1.5,2,1,0,0,0,7021145036,42.0287,w/d hookups,-71.5269,detached garage,1795,worcester / central MA,1,1200,ma,apartment,1
1,1,1,0,0,0,7025264288,42.2729,laundry on site,-71.7995,off-street parking,1800,worcester / central MA,0,602,ma,apartment,0
1,2,0,0,0,0,7025275088,42.2526,laundry on site,-71.8499,off-street parking,1550,worcester / central MA,0,936,ma,apartment,0
2,2,1,0,1,0,7007038654,42.3948,w/d in unit,-71.7939,off-street parking,1800,worcester / central MA,0,1192,ma,apartment,1
1,1,1,0,1,0,7025323661,42.2811,w/d in unit,-71.6908,off-street parking,1510,worcester / central MA,1,615,ma,apartment,0
1,2,1,0,1,0,7025331206,42.2767,laundry in bldg,-71.6972,off-street parking,1665,worcester / central MA,1,950,ma,apartment,0
1,2,1,0,1,0,7012914307,42.4181,w/d in unit,-71.6828,off-street parking,1975,worcester / central MA,1,1279,ma,apartment,0
2,2,1,0,1,0,7025342127,42.2566,w/d in unit,-71.8066,off-street parking,1750,worcester / central MA,1,1130,ma,apartment,0
1,2,1,0,0,0,7025563683,42.311,w/d hookups,-71.7958,off-street parking,1100,worcester / central MA,0,1300,ma,apartment,0
1,1,0,0,0,0,7025627406,42.375,w/d in unit,-71.5582,off-street parking,2040,worcester / central MA,0,964,ma,apartment,0
1,3,1,0,1,0,7006933540,42.2624,w/d hookups,-71.8003,street parking,2000,worcester / central MA,1,1700,ma,apartment,0
2,2,0,0,0,0,7025821000,42.375,w/d in unit,-71.5582,off-street parking,2276,worcester / central MA,0,1100,ma,apartment,0
1,1,1,0,1,0,7025895573,42.2811,w/d in unit,-71.6908,off-street parking,1630,worcester / central MA,1,795,ma,apartment,0
1,3,0,0,0,0,7026008399,42.2695,w/d hookups,-71.7691,off-street parking,1875,worcester / central MA,0,1300,ma,apartment,0
2,4,0,0,0,0,7026016184,42.2692,w/d hookups,-71.7691,off-street parking,2375,worcester / central MA,0,1800,ma,apartment,0
1,1,1,0,1,0,7026247318,42.4181,w/d in unit,-71.6828,off-street parking,1525,worcester / central MA,1,962,ma,apartment,0
1,2,1,0,1,0,7018987962,42.2566,w/d in unit,-71.8066,off-street parking,1650,worcester / central MA,1,823,ma,apartment,0
2,2,1,0,1,0,7006520137,42.4121,w/d in unit,-71.6805,off-street parking,1800,worcester / central MA,1,855,ma,apartment,0
1,2,0,0,0,0,7008789836,42.1474,w/d hookups,-71.4212,off-street parking,1300,worcester / central MA,0,750,ma,townhouse,0
1.5,2,1,0,1,0,7008278034,42.2566,w/d in unit,-71.8066,off-street parking,1875,worcester / central MA,1,1276,ma,apartment,0
2,2,1,0,1,0,7017595275,42.2566,w/d in unit,-71.8066,off-street parking,1700,worcester / central MA,1,927,ma,apartment,0
2,2,1,0,1,0,7008286631,42.4121,w/d in unit,-71.6805,off-street parking,1875,worcester / central MA,1,985,ma,apartment,0
1,3,0,0,0,0,7045980336,44.2354,w/d hookups,-70.0288,detached garage,900,maine,0,1200,me,duplex,0
1,2,1,1,1,0,7046092707,43.6602,w/d in unit,-70.2898,off-street parking,2200,maine,0,950,me,apartment,0
1.5,4,1,0,1,0,7046188537,44.3232,w/d in unit,-69.7665,attached garage,1000,maine,1,1210,me,apartment,1
2,3,0,0,0,0,7046194750,43.4597,w/d in unit,-70.9152,off-street parking,300,maine,1,1800,me,house,0
1.5,2,1,0,0,0,7028920255,43.1544,w/d hookups,-70.6578,attached garage,1750,maine,0,1350,me,townhouse,0
1,1,0,0,0,0,7046291551,43.5077,w/d in unit,-70.6023,off-street parking,1200,maine,0,600,me,apartment,0
1,2,0,1,0,0,7046324039,44.1055,laundry in bldg,-69.1146,off-street parking,3000,maine,0,900,me,apartment,0
1,3,0,0,0,0,7046411119,44.8242,w/d hookups,-68.7918,off-street parking,1100,maine,1,1200,me,apartment,0
1,1,1,0,1,0,7046489238,43.8798,laundry on site,-70.6293,off-street parking,1095,maine,1,800,me,apartment,0
